root@comp3134-Winter2026:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet), snapshot length 262144
21:44:18.306672 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3836570634:3836570678, ack 3358652334, win 4589, length 44
21:44:18.306740 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 44:96, ack 1, win 4589, length 52
21:44:18.306795 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 96:164, ack 1, win 4589, length 68
21:44:18.306837 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 164:232, ack 1, win 4589, length 68
21:44:18.306874 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 232:268, ack 1, win 4589, length 36
21:44:18.308064 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1:37, ack 0, win 2046, length 36
21:44:18.308182 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 268:304, ack 37, win 4589, length 36
21:44:18.318143 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [.], ack 268, win 2044, length 0
21:44:18.318144 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [.], ack 304, win 2044, length 0
21:44:18.333469 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 37:73, ack 304, win 2044, length 36
21:44:18.333688 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 304:340, ack 73, win 4589, length 36
21:44:18.363680 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 73:109, ack 340, win 2044, length 36
21:44:18.363877 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 340:376, ack 109, win 4589, length 36
21:44:18.393503 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 109:145, ack 376, win 2044, length 36
21:44:18.393714 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 376:412, ack 145, win 4589, length 36
21:44:18.423897 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 145:181, ack 412, win 2044, length 36
21:44:18.424095 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 412:448, ack 181, win 4589, length 36
21:44:18.453586 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 181:217, ack 448, win 2044, length 36
21:44:18.453754 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 448:484, ack 217, win 4589, length 36
21:44:18.460782 IP 178.62.217.100.56072 > comp3134-Winter2026.ssh: Flags [S], seq 1518304981, win 64240, options [mss 1460,sackOK,TS val 1101187310 ecr 0,nop,wscale 7], length 0
21:44:18.460836 IP comp3134-Winter2026 > 178.62.217.100: ICMP comp3134-Winter2026 tcp port ssh unreachable, length 68
21:44:18.485762 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 217:253, ack 484, win 2044, length 36
